id,realm,material_type,author_inified,title_en,edition,language,translator,paratext_en,editor,illustrator,cover_desing_en,city_en,publisher_en,year
155,RU,Book,Anna Akhmatova,50 stikhotvorenii,,Russian,,,,,,Paris,YMCA-Press,1963
156,RU,Book,Alexander Bek,Novoe naznachenie,,Russian,,,,,,Frankfurt am Main,Posev,1971
157,RU,Book,,"Smuta noveishego vremeni, ili Udivitel'nye pokhozhdeniia Vani Chmotanova",,Russian,,,,Drawings by: DIM,,Paris,La Presse Libre,1970
158,RU,Book,Aleksandr Solzhenitsyn,V kruge pervom (The First Circle),,Russian,,,,,,Milan,Arnoldo Mondadori Editore,1968
160,RU,Book,Anna Akhmatova,Requiem (Reekviem),,Estonian,Marie Under,"Introduction by: Alexis Rannitt
Epilogue by: François Mauriac",,,,Washington D.C.,Inter-Language Literary Associates,1967
161,RU,Book,Anna Akhmatova,Requiem (Requiems),,Latvian,Pēteris Aigars,"Introduction by: Pēteris Aigars
Epilogue by: François Mauriac",,,,Washington D.C.,Inter-Language Literary Associates,1968
163,RU,Book,Anna Akhmatova,Rekviem. 1935-1940,"2nd ed., corrected by the author",Russian,,Afterword by: Gleb Struve,,,,Munich,Tovarishchestvo zarubezhnykh pisatelei,1969
167,RU,Book,Anna Akhmatova,"Sochineniia Works, In 2 vols",,Russian,,,Gleb Struve; Boris Filippov,,,Washington D.C.,Inter-Language Literary Associates,1965
168,RU,Book,Yevgeny Zamyatin,My,,Russian,,,,,,New York,Izdatel'stvo imeni Chekhova,1952
169,RU,Book,Yevgeny Zamyatin,Povesti i rasskazy (Novellas and Short Stories),,Russian,,,,,,Munich,TSOPE,1963
170,RU,Book,Yevgeny Zamyatin,"Litsa Faces,",,Russian,,"Introduction by: Mikhail Koriakov
Afterword by: Vladimir Bondarenko",,,Nikolai Safonov,New York,Inter-Language Literary Associates,1967
171,RU,Book,Yevgeny Zamyatin,My,,Russian,,"Introduction by: Evgenia Zhiglevich
Afterword by: Vladimir Bondarenko",,,Evgenia Zhiglevich,New York,Inter-Language Literary Associates,1967
172,RU,Book,Yevgeny Zamyatin,"Sochineniia Works, 4 vols",,Russian,,,,Drawing by: Yuri Annenkov,Nikolai Safonov,Munich,Neimanis,1970-1988
173,RU,Book,Yevgeny Zamyatin,Litsa (Faces),,Russian,,,,,,New York,Izdatel'stvo imeni Chekhova,1955
